[01/15/2017/ 00:53:51:511985]|GENERAL|:Started PERCEPTION Logger!
[01/15/2017/ 00:53:51:514637]|KINECT|:Initializing Kinect device
[01/15/2017/ 00:53:51:515170]|KINECT|:Device Serial: 018660741747
[01/15/2017/ 00:53:51:727742]|KINECT|:Using pipeline!
[01/15/2017/ 00:53:51:833956]|KINECT|:Setting Kinect frames
[01/15/2017/ 00:53:51:918780]|KINECT|:Started the listener
[01/15/2017/ 00:53:51:948252]|KINECT|:Starting rgb callback loop
[01/15/2017/ 00:53:51:949687]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950007]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950092]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950173]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950245]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950323]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950398]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950483]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950567]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950643]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950697]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950752]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950827]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950909]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:950987]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:951057]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:951113]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:951163]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:951222]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:951272]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

[01/15/2017/ 00:53:51:951321]|KINECT|:(ERROR)-> Failed getting depth frame: /home/titan/opencv/modules/core/src/alloc.cpp:52: error: (-4) Failed to allocate 14602199053888548 bytes in function OutOfMemoryError

